"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","Refundierungen","Rechnungsbeträge"
"ÖGK-V","2021","75","Ergotherapeut","101675.16","248483.98"
"ÖGK-V","Durchschnitt 21","","Gesamt","11753079.1","23092653.19"
"ÖGK-V","2022","63","Physiotherapie","12052153.15","23573575.29"
"ÖGK-V","2022","66","Logopäde","172776.84","304910.7"
"ÖGK-V","2022","75","Ergotherapeut","129589.74","231527.46"
"ÖGK-V","Durchschnitt 22","","Gesamt","12354519.73","24110013.45"
"ÖGK-V","2023","63","Physiotherapie","15439695.68","28130908.49"
"ÖGK-V","2023","66","Logopäde","262706.65","444917.66"
"ÖGK-V","2023","75","Ergotherapeut","181606.13","307707.64"
"ÖGK-V","Durchschnitt 23","","Gesamt","15884008.46","28883533.79"
"ÖGK-W","2021","63","Physiotherapie","13900311.76","38396033.68"
"ÖGK-W","2021","66","Logopäde","2187326.32","4420457.24"
"ÖGK-W","2021","75","Ergotherapeut","1602942.63","3347107.86"
"ÖGK-W","Durchschnitt 21","","Gesamt","17690580.71","46163598.78"
"ÖGK-W","2022","63","Physiotherapie","15940184.32","34085857.88"
"ÖGK-W","2022","66","Logopäde","2175293.31","4032168.62"
"ÖGK-W","2022","75","Ergotherapeut","1884591.45","3222259.59"
"ÖGK-W","Durchschnitt 22","","Gesamt","20000069.08","41340286.09"
"ÖGK-W","2023","63","Physiotherapie","22895764.57","41356212.19"
"ÖGK-W","2023","66","Logopäde","2744494.99","4667960.91"
"ÖGK-W","2023","75","Ergotherapeut","2492901.85","4035268.26"
"ÖGK-W","Durchschnitt 23","","Gesamt","28133161.41","50059441.36"
