Date,FG-Code,LST,Monat.Jahr,Fachrichtung,postal,online,Gesamt,Year,Bundesland_pretty
2023-03,6.0,ÖGK-B,Mär.23,FA für Frauenheilkunde und Geburtshilfe,736.0,1255.0,1991.0,2023,Burgenland
2023-03,7.0,ÖGK-B,Mär.23,FA für Innere Medizin,858.0,461.0,1319.0,2023,Burgenland
2023-03,8.0,ÖGK-B,Mär.23,FA für Kinder- und Jugendheilkunde,199.0,337.0,536.0,2023,Burgenland
2023-03,9.0,ÖGK-B,Mär.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",343.0,104.0,447.0,2023,Burgenland
2023-03,10.0,ÖGK-B,Mär.23,FA für Lungenkrankheiten,20.0,8.0,28.0,2023,Burgenland
2023-03,11.0,ÖGK-B,Mär.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,94.0,37.0,131.0,2023,Burgenland
2023-03,12.0,ÖGK-B,Mär.23,FA für Orthopädie und orthopädische Chirurgie,1026.0,472.0,1498.0,2023,Burgenland
2023-03,13.0,ÖGK-B,Mär.23,FA für Physikalische Medizin,15.0,7.0,22.0,2023,Burgenland
2023-03,14.0,ÖGK-B,Mär.23,FA für Radiologie,80.0,42.0,122.0,2023,Burgenland
2023-03,15.0,ÖGK-B,Mär.23,FA für Unfallchirurgie,198.0,58.0,256.0,2023,Burgenland
2023-03,16.0,ÖGK-B,Mär.23,FA für Urologie,347.0,185.0,532.0,2023,Burgenland
2023-03,18.0,ÖGK-B,Mär.23,FA für Neurochirurgie,25.0,5.0,30.0,2023,Burgenland
2023-03,19.0,ÖGK-B,Mär.23,FA für Neurologie,270.0,70.0,340.0,2023,Burgenland
2023-03,20.0,ÖGK-B,Mär.23,FA für Psychiatrie,137.0,181.0,318.0,2023,Burgenland
2023-03,21.0,ÖGK-B,Mär.23,FA für Plastische Chirurgie,14.0,10.0,24.0,2023,Burgenland
2023-03,22.0,ÖGK-B,Mär.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-03,23.0,ÖGK-B,Mär.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-03,24.0,ÖGK-B,Mär.23,FA für Nuklearmedizin,25.0,17.0,42.0,2023,Burgenland
2023-03,26.0,ÖGK-B,Mär.23,FA für Strahlentherapie - Radioonkologie,6.0,,6.0,2023,Burgenland
2023-03,29.0,ÖGK-B,Mär.23,FA für Immunologie,,3.0,3.0,2023,Burgenland
2023-03,32.0,ÖGK-B,Mär.23,FA für Kinder- und Jugendpsychiatrie,,,0.0,2023,Burgenland
2023-03,34.0,ÖGK-B,Mär.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-03,50.0,ÖGK-B,Mär.23,FA für medizinische und chemische Labordiagnostik,3.0,,3.0,2023,Burgenland
2023-03,53.0,ÖGK-B,Mär.23,FA für Pathologie und Histologie,,2.0,2.0,2023,Burgenland
2023-03,55.0,ÖGK-B,Mär.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,0.0,2023,Burgenland
2023-03,,ÖGK-B,Mär.23,Gesamt,6420.0,4881.0,11301.0,2023,Burgenland
2023-04,5.0,ÖGK-B,Apr.23,FA für Haut- und Geschlechtskrankheiten,467.0,135.0,602.0,2023,Burgenland
2023-04,6.0,ÖGK-B,Apr.23,FA für Frauenheilkunde und Geburtshilfe,601.0,925.0,1526.0,2023,Burgenland
2023-04,7.0,ÖGK-B,Apr.23,FA für Innere Medizin,642.0,153.0,795.0,2023,Burgenland
2023-04,8.0,ÖGK-B,Apr.23,FA für Kinder- und Jugendheilkunde,96.0,92.0,188.0,2023,Burgenland
2023-04,9.0,ÖGK-B,Apr.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",172.0,22.0,194.0,2023,Burgenland
2023-04,10.0,ÖGK-B,Apr.23,FA für Lungenkrankheiten,6.0,6.0,12.0,2023,Burgenland
2023-04,11.0,ÖGK-B,Apr.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,37.0,8.0,45.0,2023,Burgenland
2023-04,12.0,ÖGK-B,Apr.23,FA für Orthopädie und orthopädische Chirurgie,814.0,131.0,945.0,2023,Burgenland
2023-04,13.0,ÖGK-B,Apr.23,FA für Physikalische Medizin,2.0,8.0,10.0,2023,Burgenland
2023-04,14.0,ÖGK-B,Apr.23,FA für Radiologie,55.0,8.0,63.0,2023,Burgenland
2023-04,15.0,ÖGK-B,Apr.23,FA für Unfallchirurgie,165.0,15.0,180.0,2023,Burgenland
2023-04,16.0,ÖGK-B,Apr.23,FA für Urologie,123.0,117.0,240.0,2023,Burgenland
2023-04,18.0,ÖGK-B,Apr.23,FA für Neurochirurgie,23.0,2.0,25.0,2023,Burgenland
2023-04,19.0,ÖGK-B,Apr.23,FA für Neurologie,210.0,34.0,244.0,2023,Burgenland
2023-04,20.0,ÖGK-B,Apr.23,FA für Psychiatrie,93.0,99.0,192.0,2023,Burgenland
2023-04,21.0,ÖGK-B,Apr.23,FA für Plastische Chirurgie,7.0,4.0,11.0,2023,Burgenland
2023-04,22.0,ÖGK-B,Apr.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-04,23.0,ÖGK-B,Apr.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-04,24.0,ÖGK-B,Apr.23,FA für Nuklearmedizin,13.0,5.0,18.0,2023,Burgenland
2023-04,26.0,ÖGK-B,Apr.23,FA für Strahlentherapie - Radioonkologie,,,0.0,2023,Burgenland
2023-04,29.0,ÖGK-B,Apr.23,FA für Immunologie,,,0.0,2023,Burgenland
2023-04,32.0,ÖGK-B,Apr.23,FA für Kinder- und Jugendpsychiatrie,,,0.0,2023,Burgenland
2023-04,34.0,ÖGK-B,Apr.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-04,50.0,ÖGK-B,Apr.23,FA für medizinische und chemische Labordiagnostik,3.0,,3.0,2023,Burgenland
2023-04,53.0,ÖGK-B,Apr.23,FA für Pathologie und Histologie,,,0.0,2023,Burgenland
2023-04,55.0,ÖGK-B,Apr.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,1.0,,1.0,2023,Burgenland
2023-04,,ÖGK-B,Apr.23,Gesamt,4309.0,2278.0,6587.0,2023,Burgenland
2023-05,5.0,ÖGK-B,Mai.23,FA für Haut- und Geschlechtskrankheiten,593.0,189.0,782.0,2023,Burgenland
2023-05,6.0,ÖGK-B,Mai.23,FA für Frauenheilkunde und Geburtshilfe,874.0,1094.0,1968.0,2023,Burgenland
2023-05,7.0,ÖGK-B,Mai.23,FA für Innere Medizin,989.0,217.0,1206.0,2023,Burgenland
2023-05,8.0,ÖGK-B,Mai.23,FA für Kinder- und Jugendheilkunde,218.0,201.0,419.0,2023,Burgenland
2023-05,9.0,ÖGK-B,Mai.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",348.0,44.0,392.0,2023,Burgenland
2023-05,10.0,ÖGK-B,Mai.23,FA für Lungenkrankheiten,25.0,9.0,34.0,2023,Burgenland
2023-05,11.0,ÖGK-B,Mai.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,78.0,12.0,90.0,2023,Burgenland
2023-05,12.0,ÖGK-B,Mai.23,FA für Orthopädie und orthopädische Chirurgie,1187.0,207.0,1394.0,2023,Burgenland
2023-05,13.0,ÖGK-B,Mai.23,FA für Physikalische Medizin,15.0,,15.0,2023,Burgenland
2023-05,14.0,ÖGK-B,Mai.23,FA für Radiologie,70.0,10.0,80.0,2023,Burgenland
2023-05,15.0,ÖGK-B,Mai.23,FA für Unfallchirurgie,230.0,11.0,241.0,2023,Burgenland
2023-05,16.0,ÖGK-B,Mai.23,FA für Urologie,448.0,120.0,568.0,2023,Burgenland
2023-05,18.0,ÖGK-B,Mai.23,FA für Neurochirurgie,24.0,,24.0,2023,Burgenland
2023-05,19.0,ÖGK-B,Mai.23,FA für Neurologie,338.0,47.0,385.0,2023,Burgenland
2023-05,20.0,ÖGK-B,Mai.23,FA für Psychiatrie,130.0,122.0,252.0,2023,Burgenland
2023-05,21.0,ÖGK-B,Mai.23,FA für Plastische Chirurgie,14.0,6.0,20.0,2023,Burgenland
2023-05,22.0,ÖGK-B,Mai.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-05,23.0,ÖGK-B,Mai.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-05,24.0,ÖGK-B,Mai.23,FA für Nuklearmedizin,17.0,7.0,24.0,2023,Burgenland
2023-05,26.0,ÖGK-B,Mai.23,FA für Strahlentherapie - Radioonkologie,,,0.0,2023,Burgenland
2023-05,29.0,ÖGK-B,Mai.23,FA für Immunologie,4.0,,4.0,2023,Burgenland
2023-05,32.0,ÖGK-B,Mai.23,FA für Kinder- und Jugendpsychiatrie,1.0,,1.0,2023,Burgenland
2023-05,34.0,ÖGK-B,Mai.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-05,50.0,ÖGK-B,Mai.23,FA für medizinische und chemische Labordiagnostik,,1.0,1.0,2023,Burgenland
2023-05,53.0,ÖGK-B,Mai.23,FA für Pathologie und Histologie,,,0.0,2023,Burgenland
2023-05,55.0,ÖGK-B,Mai.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,0.0,2023,Burgenland
2023-05,,ÖGK-B,Mai.23,Gesamt,7564.0,3049.0,10613.0,2023,Burgenland
2023-06,5.0,ÖGK-B,Jun.23,FA für Haut- und Geschlechtskrankheiten,678.0,360.0,1038.0,2023,Burgenland
2023-06,6.0,ÖGK-B,Jun.23,FA für Frauenheilkunde und Geburtshilfe,833.0,1138.0,1971.0,2023,Burgenland
2023-06,7.0,ÖGK-B,Jun.23,FA für Innere Medizin,994.0,346.0,1340.0,2023,Burgenland
2023-06,8.0,ÖGK-B,Jun.23,FA für Kinder- und Jugendheilkunde,185.0,237.0,422.0,2023,Burgenland
2023-06,9.0,ÖGK-B,Jun.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",299.0,80.0,379.0,2023,Burgenland
2023-06,10.0,ÖGK-B,Jun.23,FA für Lungenkrankheiten,13.0,12.0,25.0,2023,Burgenland
2023-06,11.0,ÖGK-B,Jun.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,99.0,25.0,124.0,2023,Burgenland
2023-06,12.0,ÖGK-B,Jun.23,FA für Orthopädie und orthopädische Chirurgie,1071.0,390.0,1461.0,2023,Burgenland
2023-06,13.0,ÖGK-B,Jun.23,FA für Physikalische Medizin,14.0,7.0,21.0,2023,Burgenland
2023-06,14.0,ÖGK-B,Jun.23,FA für Radiologie,91.0,38.0,129.0,2023,Burgenland
2023-06,15.0,ÖGK-B,Jun.23,FA für Unfallchirurgie,205.0,57.0,262.0,2023,Burgenland
2023-06,16.0,ÖGK-B,Jun.23,FA für Urologie,332.0,166.0,498.0,2023,Burgenland
2023-06,18.0,ÖGK-B,Jun.23,FA für Neurochirurgie,21.0,8.0,29.0,2023,Burgenland
2023-06,19.0,ÖGK-B,Jun.23,FA für Neurologie,276.0,60.0,336.0,2023,Burgenland
2023-06,20.0,ÖGK-B,Jun.23,FA für Psychiatrie,173.0,138.0,311.0,2023,Burgenland
2023-06,21.0,ÖGK-B,Jun.23,FA für Plastische Chirurgie,9.0,10.0,19.0,2023,Burgenland
2023-06,22.0,ÖGK-B,Jun.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-06,23.0,ÖGK-B,Jun.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-06,24.0,ÖGK-B,Jun.23,FA für Nuklearmedizin,19.0,16.0,35.0,2023,Burgenland
2023-06,26.0,ÖGK-B,Jun.23,FA für Strahlentherapie - Radioonkologie,,,0.0,2023,Burgenland
2023-06,29.0,ÖGK-B,Jun.23,FA für Immunologie,,,0.0,2023,Burgenland
2023-06,32.0,ÖGK-B,Jun.23,FA für Kinder- und Jugendpsychiatrie,,,0.0,2023,Burgenland
2023-06,34.0,ÖGK-B,Jun.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-06,50.0,ÖGK-B,Jun.23,FA für medizinische und chemische Labordiagnostik,,,0.0,2023,Burgenland
2023-06,53.0,ÖGK-B,Jun.23,FA für Pathologie und Histologie,,,0.0,2023,Burgenland
2023-06,55.0,ÖGK-B,Jun.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,0.0,2023,Burgenland
2023-06,,ÖGK-B,Jun.23,Gesamt,7217.0,4473.0,11690.0,2023,Burgenland
2023-07,5.0,ÖGK-B,Jul.23,FA für Haut- und Geschlechtskrankheiten,607.0,327.0,934.0,2023,Burgenland
2023-07,6.0,ÖGK-B,Jul.23,FA für Frauenheilkunde und Geburtshilfe,931.0,1148.0,2079.0,2023,Burgenland
2023-07,7.0,ÖGK-B,Jul.23,FA für Innere Medizin,970.0,284.0,1254.0,2023,Burgenland
2023-07,8.0,ÖGK-B,Jul.23,FA für Kinder- und Jugendheilkunde,264.0,259.0,523.0,2023,Burgenland
2023-07,9.0,ÖGK-B,Jul.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",340.0,80.0,420.0,2023,Burgenland
2023-07,10.0,ÖGK-B,Jul.23,FA für Lungenkrankheiten,12.0,4.0,16.0,2023,Burgenland
2023-07,11.0,ÖGK-B,Jul.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,114.0,13.0,127.0,2023,Burgenland
2023-07,12.0,ÖGK-B,Jul.23,FA für Orthopädie und orthopädische Chirurgie,1449.0,370.0,1819.0,2023,Burgenland
2023-07,13.0,ÖGK-B,Jul.23,FA für Physikalische Medizin,13.0,12.0,25.0,2023,Burgenland
2023-07,14.0,ÖGK-B,Jul.23,FA für Radiologie,71.0,36.0,107.0,2023,Burgenland
2023-07,15.0,ÖGK-B,Jul.23,FA für Unfallchirurgie,353.0,79.0,432.0,2023,Burgenland
2023-07,16.0,ÖGK-B,Jul.23,FA für Urologie,272.0,151.0,423.0,2023,Burgenland
2023-07,18.0,ÖGK-B,Jul.23,FA für Neurochirurgie,28.0,9.0,37.0,2023,Burgenland
2023-07,19.0,ÖGK-B,Jul.23,FA für Neurologie,248.0,59.0,307.0,2023,Burgenland
2023-07,20.0,ÖGK-B,Jul.23,FA für Psychiatrie,138.0,99.0,237.0,2023,Burgenland
2023-07,21.0,ÖGK-B,Jul.23,FA für Plastische Chirurgie,24.0,10.0,34.0,2023,Burgenland
2023-07,22.0,ÖGK-B,Jul.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-07,23.0,ÖGK-B,Jul.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-07,24.0,ÖGK-B,Jul.23,FA für Nuklearmedizin,18.0,16.0,34.0,2023,Burgenland
2023-07,26.0,ÖGK-B,Jul.23,FA für Strahlentherapie - Radioonkologie,1.0,,1.0,2023,Burgenland
2023-07,29.0,ÖGK-B,Jul.23,FA für Immunologie,1.0,1.0,2.0,2023,Burgenland
2023-07,32.0,ÖGK-B,Jul.23,FA für Kinder- und Jugendpsychiatrie,,,0.0,2023,Burgenland
2023-07,34.0,ÖGK-B,Jul.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-07,50.0,ÖGK-B,Jul.23,FA für medizinische und chemische Labordiagnostik,2.0,,2.0,2023,Burgenland
2023-07,53.0,ÖGK-B,Jul.23,FA für Pathologie und Histologie,,,0.0,2023,Burgenland
2023-07,55.0,ÖGK-B,Jul.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,0.0,2023,Burgenland
2023-07,,ÖGK-B,Jul.23,Gesamt,7349.0,4070.0,11419.0,2023,Burgenland
2023-08,5.0,ÖGK-B,Aug.23,FA für Haut- und Geschlechtskrankheiten,409.0,184.0,593.0,2023,Burgenland
2023-08,6.0,ÖGK-B,Aug.23,FA für Frauenheilkunde und Geburtshilfe,489.0,940.0,1429.0,2023,Burgenland
2023-08,7.0,ÖGK-B,Aug.23,FA für Innere Medizin,649.0,231.0,880.0,2023,Burgenland
2023-08,8.0,ÖGK-B,Aug.23,FA für Kinder- und Jugendheilkunde,190.0,170.0,360.0,2023,Burgenland
2023-08,9.0,ÖGK-B,Aug.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",237.0,48.0,285.0,2023,Burgenland
2023-08,10.0,ÖGK-B,Aug.23,FA für Lungenkrankheiten,9.0,5.0,14.0,2023,Burgenland
2023-08,11.0,ÖGK-B,Aug.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,57.0,8.0,65.0,2023,Burgenland
2023-08,12.0,ÖGK-B,Aug.23,FA für Orthopädie und orthopädische Chirurgie,649.0,203.0,852.0,2023,Burgenland
2023-08,13.0,ÖGK-B,Aug.23,FA für Physikalische Medizin,4.0,12.0,16.0,2023,Burgenland
2023-08,14.0,ÖGK-B,Aug.23,FA für Radiologie,53.0,12.0,65.0,2023,Burgenland
2023-08,15.0,ÖGK-B,Aug.23,FA für Unfallchirurgie,82.0,29.0,111.0,2023,Burgenland
2023-08,16.0,ÖGK-B,Aug.23,FA für Urologie,194.0,110.0,304.0,2023,Burgenland
2023-08,18.0,ÖGK-B,Aug.23,FA für Neurochirurgie,14.0,2.0,16.0,2023,Burgenland
2023-08,19.0,ÖGK-B,Aug.23,FA für Neurologie,306.0,37.0,343.0,2023,Burgenland
2023-08,20.0,ÖGK-B,Aug.23,FA für Psychiatrie,163.0,64.0,227.0,2023,Burgenland
2023-08,21.0,ÖGK-B,Aug.23,FA für Plastische Chirurgie,2.0,3.0,5.0,2023,Burgenland
2023-08,22.0,ÖGK-B,Aug.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-08,23.0,ÖGK-B,Aug.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-08,24.0,ÖGK-B,Aug.23,FA für Nuklearmedizin,15.0,7.0,22.0,2023,Burgenland
2023-08,26.0,ÖGK-B,Aug.23,FA für Strahlentherapie - Radioonkologie,1.0,,1.0,2023,Burgenland
2023-08,29.0,ÖGK-B,Aug.23,FA für Immunologie,,,0.0,2023,Burgenland
2023-08,32.0,ÖGK-B,Aug.23,FA für Kinder- und Jugendpsychiatrie,,,0.0,2023,Burgenland
2023-08,34.0,ÖGK-B,Aug.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-08,50.0,ÖGK-B,Aug.23,FA für medizinische und chemische Labordiagnostik,1.0,,1.0,2023,Burgenland
2023-08,53.0,ÖGK-B,Aug.23,FA für Pathologie und Histologie,,,0.0,2023,Burgenland
2023-08,55.0,ÖGK-B,Aug.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,1.0,,1.0,2023,Burgenland
2023-08,,ÖGK-B,Aug.23,Gesamt,4054.0,2931.0,6985.0,2023,Burgenland
2023-09,5.0,ÖGK-B,Sep.23,FA für Haut- und Geschlechtskrankheiten,506.0,364.0,870.0,2023,Burgenland
2023-09,6.0,ÖGK-B,Sep.23,FA für Frauenheilkunde und Geburtshilfe,823.0,1194.0,2017.0,2023,Burgenland
2023-09,7.0,ÖGK-B,Sep.23,FA für Innere Medizin,1384.0,451.0,1835.0,2023,Burgenland
2023-09,8.0,ÖGK-B,Sep.23,FA für Kinder- und Jugendheilkunde,239.0,326.0,565.0,2023,Burgenland
2023-09,9.0,ÖGK-B,Sep.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",421.0,86.0,507.0,2023,Burgenland
2023-09,10.0,ÖGK-B,Sep.23,FA für Lungenkrankheiten,17.0,5.0,22.0,2023,Burgenland
2023-09,11.0,ÖGK-B,Sep.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,102.0,23.0,125.0,2023,Burgenland
2023-09,12.0,ÖGK-B,Sep.23,FA für Orthopädie und orthopädische Chirurgie,1424.0,469.0,1893.0,2023,Burgenland
2023-09,13.0,ÖGK-B,Sep.23,FA für Physikalische Medizin,16.0,11.0,27.0,2023,Burgenland
2023-09,14.0,ÖGK-B,Sep.23,FA für Radiologie,95.0,62.0,157.0,2023,Burgenland
2023-09,15.0,ÖGK-B,Sep.23,FA für Unfallchirurgie,338.0,89.0,427.0,2023,Burgenland
2023-09,16.0,ÖGK-B,Sep.23,FA für Urologie,289.0,176.0,465.0,2023,Burgenland
2023-09,18.0,ÖGK-B,Sep.23,FA für Neurochirurgie,44.0,5.0,49.0,2023,Burgenland
2023-09,19.0,ÖGK-B,Sep.23,FA für Neurologie,416.0,72.0,488.0,2023,Burgenland
2023-09,20.0,ÖGK-B,Sep.23,FA für Psychiatrie,259.0,132.0,391.0,2023,Burgenland
2023-09,21.0,ÖGK-B,Sep.23,FA für Plastische Chirurgie,20.0,5.0,25.0,2023,Burgenland
2023-09,22.0,ÖGK-B,Sep.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-09,23.0,ÖGK-B,Sep.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-09,24.0,ÖGK-B,Sep.23,FA für Nuklearmedizin,23.0,22.0,45.0,2023,Burgenland
